City,Latitude,Longitude,Temperature,Cloudiness,Wind Speed,Humidity
alegrete,-29.7831,-55.7919,82.35,44,8.01,38
ushuaia,-54.8,-68.3,49.66,100,6.91,93
beloha,-25.1667,45.05,73.6,41,11.95,91
athabasca,54.7169,-113.2854,18.19,100,6.06,85
poum,-20.2333,164.0167,81.19,98,7.85,78
atuona,-9.8,-139.0333,77.74,3,10.76,76
busselton,-33.65,115.3333,68.04,13,8.86,68
niquelandia,-14.4739,-48.4597,69.64,87,2.08,92
jamestown,42.097,-79.2353,40.89,100,18.41,63
kemijarvi,66.7131,27.4306,1.38,14,3.74,97
albany,42.6001,-73.9662,44.94,100,1.01,57
gao,16.6362,1.637,67.82,0,10.78,12
barrow,71.2906,-156.7887,-27.6,68,7.31,100
baijiantan,45.6333,85.1833,8.22,100,3.85,96
bluff,-46.6,168.3333,59.81,42,18.86,63
vardo,70.3705,31.1107,30.78,100,29.46,77
lojt kirkeby,55.0833,9.4667,30.9,2,7.65,84
baruun-urt,46.6806,113.2792,-4.9,100,3.76,96
kinkala,-4.3614,14.7644,77.31,95,3.36,93
salinopolis,-0.6136,-47.3561,78.15,100,9.01,86
taoudenni,22.6783,-3.9836,60.89,0,11.56,25
vaini,-21.2,-175.2,86.16,20,9.22,84
tuktoyaktuk,69.4541,-133.0374,-22.0,75,6.91,69
artyom,40.4723,50.333,37.54,13,15.52,81
port elizabeth,-33.918,25.5701,62.89,0,2.3,94
rocha,-34.4833,-54.3333,68.47,100,2.75,94
taiyuan,37.8694,112.5603,22.86,100,2.24,74
thompson,55.7435,-97.8558,-16.44,20,4.61,63
lebu,-37.6167,-73.65,58.75,0,21.21,78
torbay,47.6666,-52.7314,34.81,0,18.41,83
komsomolskiy,40.4272,71.7189,39.9,40,9.22,60
araguaina,-7.1911,-48.2072,73.27,100,1.32,94
sorland,67.667,12.6934,30.85,98,28.12,89
ponta do sol,32.6667,-17.1,62.85,12,6.89,72
rikitea,-23.1203,-134.9692,79.18,0,16.87,74
lazaro cardenas,17.9583,-102.2,76.51,58,7.56,57
buta,2.7858,24.73,70.63,100,1.21,50
stans,46.9585,8.366,27.82,4,5.75,93
vila velha,-20.3297,-40.2925,72.95,75,8.05,94
cockburn town,21.4612,-71.1419,77.65,0,21.63,82
diego de almagro,-26.3667,-70.05,66.04,0,4.03,44
pampa,35.5362,-100.9599,47.82,0,13.8,49
sunbury,-37.5833,144.7333,72.64,40,4.0,56
salalah,17.0151,54.0924,67.44,0,2.89,75
ketchikan,55.3422,-131.6461,40.98,100,4.56,87
punta arenas,-53.15,-70.9167,57.31,75,25.32,72
iqaluit,63.7506,-68.5145,-0.31,100,4.61,70
mataura,-46.1927,168.8643,59.49,99,9.28,50
roma,43.2128,-75.4557,45.19,100,1.01,54
businga,3.3333,20.8833,70.88,87,0.4,35
saint-georges,12.0564,-61.7485,78.48,40,17.27,69
severo-kurilsk,50.6789,156.125,27.27,95,9.57,78
souillac,-20.5167,57.5167,73.78,20,4.61,94
nizhnyaya omka,55.4338,74.9426,-15.81,53,7.94,99
kavaratti,10.5669,72.642,80.01,77,8.81,77
chokurdakh,70.6333,147.9167,-4.09,100,13.33,96
chuy,-33.6971,-53.4616,72.55,50,13.78,85
dekar,-21.5333,21.9333,69.04,60,5.32,72
mar del plata,-38.0023,-57.5575,62.78,100,20.0,72
bar harbor,44.3876,-68.2039,40.68,100,11.99,76
requena,39.4883,-1.1004,39.78,20,2.59,78
berdigestyakh,62.0989,126.6992,-25.19,69,3.33,99
talnakh,69.4865,88.3972,-11.85,94,9.55,87
kamenka,51.3223,42.7678,30.74,100,13.18,88
black river,18.0264,-77.8487,80.6,42,4.59,83
bull savanna,17.8868,-77.5902,73.83,38,9.1,83
sinnamary,5.3833,-52.95,76.15,61,9.48,89
cape town,-33.9258,18.4232,67.41,0,13.8,82
puerto ayora,-0.7393,-90.3518,72.55,60,1.01,100
miandrivazo,-19.5167,45.4667,77.31,5,1.99,90
khatanga,71.9667,102.5,-1.01,100,14.16,83
kapaa,22.0752,-159.319,81.12,0,3.0,79
ilo,-17.6394,-71.3375,69.51,5,5.06,79
provideniya,64.3833,-173.3,-12.39,4,8.55,88
carnarvon,-24.8667,113.6333,87.87,3,8.05,55
lyuban,52.7985,28.0048,31.39,100,7.52,95
lamar,33.6668,-95.5836,61.54,100,4.41,60
noblesville,40.0456,-86.0086,37.04,100,4.0,91
namibe,-15.1961,12.1522,75.92,100,4.45,82
chirongui,-12.9319,45.1483,78.73,96,8.25,78
dikson,73.5069,80.5464,2.97,100,29.08,81
port alfred,-33.5906,26.891,70.93,0,5.91,88
